#pymecavideo
#video = C:/Users/rapha/Documents/Espace/viédos montées/plus300 tmd reso.mp4
#sens axe des X = 1
#sens axe des Y = 1
#origine de pointage = (221.000000, 210.000000)
#index de depart = 1
#echelle 0.125000 m pour 108.018517 pixel
#echelle pointee en (223.000000, 210.000000) (331.000000, 212.000000)
#intervalle de temps : 0.033367
#suivi de 1 point(s)
#temps en seconde, positions en mètre
#
9,44	-0,002314	0,226813	
9,48	-0,002314	0,226813	
9,51	-0,002314	0,226813	
9,54	-0,002314	0,226813	
9,58	-0,002314	0,226813	
9,61	-0,002314	0,226813	
9,64	-0,002314	0,226813	
9,68	-0,002314	0,226813	
9,71	-0,002314	0,226813	
9,74	-0,002314	0,226813	
9,78	-0,002314	0,226813	
9,81	-0,002314	0,226813	
9,84	-0,002314	0,226813	
9,88	-0,002314	0,226813	
9,91	-0,002314	0,226813	
9,94	-0,002314	0,226813	
9,98	-0,002314	0,226813	
10,01	-0,002314	0,226813	
10,04	-0,002314	0,226813	
10,08	-0,002314	0,226813	
10,11	-0,002314	0,226813	
10,14	-0,002314	0,226813	
10,18	-0,002314	0,229127	
10,21	-0,002314	0,229127	
10,24	-0,002314	0,229127	
10,28	-0,002314	0,229127	
10,31	-0,002314	0,229127	
10,34	-0,002314	0,229127	
10,38	-0,002314	0,229127	
10,41	-0,002314	0,229127	
10,44	-0,002314	0,229127	
10,48	-0,002314	0,229127	
10,51	-0,002314	0,229127	
10,54	-0,002314	0,229127	
10,58	-0,002314	0,229127	
10,61	-0,002314	0,229127	
10,64	-0,002314	0,229127	
10,68	-0,002314	0,229127	
10,71	-0,002314	0,229127	
10,74	-0,002314	0,229127	
10,78	-0,002314	0,229127	
10,81	-0,002314	0,229127	
10,84	-0,002314	0,229127	
10,88	-0,002314	0,229127	
10,91	-0,002314	0,229127	
10,94	-0,002314	0,229127	
10,98	-0,002314	0,229127	
11,01	-0,002314	0,229127	
11,04	-0,002314	0,229127	
11,08	-0,002314	0,229127	
11,11	-0,002314	0,229127	
